Bannock	ID	(255, 232, 64)
Franklin	ID	(255, 232, 54)
Bear Lake	ID	(255, 232, 44)
Caribou	ID	(255, 232, 34)
Minidoka	ID	(255, 232, 24)
Lincoln	ID	(255, 232, 14)
Bonneville	ID	(255, 232, 4)
Bingham	ID	(255, 231, 250)
Blaine	ID	(255, 231, 240)
Valley	ID	(255, 231, 230)
Shoshone	ID	(255, 231, 220)
Clearwater	ID	(255, 231, 210)
Idaho	ID	(255, 231, 200)
Custer	ID	(255, 231, 190)
Lemhi	ID	(255, 231, 180)
Butte	ID	(255, 231, 170)
Jefferson	ID	(255, 231, 160)
Madison	ID	(255, 231, 150)
Teton	ID	(255, 231, 140)
Vermilion	IL	(255, 231, 130)
Iroquois	IL	(255, 231, 120)
Alexander	IL	(255, 231, 110)
Pulaski	IL	(255, 231, 100)
Massac	IL	(255, 231, 90)
Hardin	IL	(255, 231, 80)
Pope	IL	(255, 231, 70)
Johnson	IL	(255, 231, 60)
Union	IL	(255, 231, 50)
Gallatin	IL	(255, 231, 40)
Saline	IL	(255, 231, 30)
Williamson	IL	(255, 231, 20)
Jackson	IL	(255, 231, 10)
Monroe	IL	(255, 231, 0)
Randolph	IL	(255, 230, 246)
Perry	IL	(255, 230, 236)
Franklin	IL	(255, 230, 226)
Hamilton	IL	(255, 230, 216)
White	IL	(255, 230, 206)
Jefferson	IL	(255, 230, 196)
Washington	IL	(255, 230, 186)
Clinton	IL	(255, 230, 176)
St Clair	IL	(255, 230, 166)
Madison	IL	(255, 230, 156)
Bond	IL	(255, 230, 146)
Marion	IL	(255, 230, 136)
Wayne	IL	(255, 230, 126)
Wabash	IL	(255, 230, 116)
Edwards	IL	(255, 230, 106)
Lawrence	IL	(255, 230, 96)
Richland	IL	(255, 230, 86)
Clay	IL	(255, 230, 76)
Jasper	IL	(255, 230, 66)
Crawford	IL	(255, 230, 56)
Clark	IL	(255, 230, 46)
Cumberland	IL	(255, 230, 36)
Effingham	IL	(255, 230, 26)
Fayette	IL	(255, 230, 16)
Shelby	IL	(255, 230, 6)
Montgomery	IL	(255, 229, 252)
Jersey	IL	(255, 229, 242)
Macoupin	IL	(255, 229, 232)
Calhoun	IL	(255, 229, 222)
Greene	IL	(255, 229, 212)
Christian	IL	(255, 229, 202)
Coles	IL	(255, 229, 192)
Edgar	IL	(255, 229, 182)
Douglas	IL	(255, 229, 172)
Moultrie	IL	(255, 229, 162)
Macon	IL	(255, 229, 152)
Sangamon	IL	(255, 229, 142)
Morgan	IL	(255, 229, 132)
Scott	IL	(255, 229, 122)
Pike	IL	(255, 229, 112)
Brown	IL	(255, 229, 102)
Adams	IL	(255, 229, 92)
Hancock	IL	(255, 229, 82)
McDonough	IL	(255, 229, 72)
Schuyler	IL	(255, 229, 62)
Cass	IL	(255, 229, 52)
Menard	IL	(255, 229, 42)
Mason	IL	(255, 229, 32)
Logan	IL	(255, 229, 22)
De Witt	IL	(255, 229, 12)
Piatt	IL	(255, 229, 2)
Champaign	IL	(255, 228, 248)
Ford	IL	(255, 228, 238)
McLean	IL	(255, 228, 228)
Tazewell	IL	(255, 228, 218)
Woodford	IL	(255, 228, 208)
Peoria	IL	(255, 228, 198)
Fulton	IL	(255, 228, 188)
Warren	IL	(255, 228, 178)
Henderson	IL	(255, 228, 168)
Mercer	IL	(255, 228, 158)
Knox	IL	(255, 228, 148)
Stark	IL	(255, 228, 138)
Marshall	IL	(255, 228, 128)
Putnam	IL	(255, 228, 118)
Livingston	IL	(255, 228, 108)
Kankakee	IL	(255, 228, 98)
Grundy	IL	(255, 228, 88)
Will	IL	(255, 228, 78)
Kendall	IL	(255, 228, 68)
La Salle	IL	(255, 228, 58)
Bureau	IL	(255, 228, 48)
Henry	IL	(255, 228, 38)
Rock Island	IL	(255, 228, 28)
Lee	IL	(255, 228, 18)
Whiteside	IL	(255, 228, 8)
Carroll	IL	(255, 227, 254)
Ogle	IL	(255, 227, 244)
DeKalb	IL	(255, 227, 234)
Kane	IL	(255, 227, 224)
DuPage	IL	(255, 227, 214)
Cook	IL	(255, 227, 204)
Lake	IL	(255, 227, 194)
McHenry	IL	(255, 227, 184)
Boone	IL	(255, 227, 174)
Winnebago	IL	(255, 227, 164)
Stephenson	IL	(255, 227, 154)
Jo Daviess	IL	(255, 227, 144)
Porter	IN	(255, 227, 134)
Lake	IN	(255, 227, 124)
Perry	IN	(255, 227, 114)
Spencer	IN	(255, 227, 104)
Warrick	IN	(255, 227, 94)
Vanderburgh	IN	(255, 227, 84)
Posey	IN	(255, 227, 74)
Gibson	IN	(255, 227, 64)
Pike	IN	(255, 227, 54)
Dubois	IN	(255, 227, 44)
Crawford	IN	(255, 227, 34)
Harrison	IN	(255, 227, 24)
Floyd	IN	(255, 227, 14)
Clark	IN	(255, 227, 4)
Ohio	IN	(255, 226, 250)
Switzerland	IN	(255, 226, 240)
Jefferson	IN	(255, 226, 230)
Scott	IN	(255, 226, 220)
Washington	IN	(255, 226, 210)
Orange	IN	(255, 226, 200)
Martin	IN	(255, 226, 190)
Daviess	IN	(255, 226, 180)
Knox	IN	(255, 226, 170)
Sullivan	IN	(255, 226, 160)
Greene	IN	(255, 226, 150)
Lawrence	IN	(255, 226, 140)
Jackson	IN	(255, 226, 130)
Jennings	IN	(255, 226, 120)
Ripley	IN	(255, 226, 110)
Dearborn	IN	(255, 226, 100)
Franklin	IN	(255, 226, 90)
Decatur	IN	(255, 226, 80)
Bartholomew	IN	(255, 226, 70)
Brown	IN	(255, 226, 60)
Monroe	IN	(255, 226, 50)
Owen	IN	(255, 226, 40)
Clay	IN	(255, 226, 30)
Vigo	IN	(255, 226, 20)
Vermillion	IN	(255, 226, 10)
Parke	IN	(255, 226, 0)
Putnam	IN	(255, 225, 246)
Morgan	IN	(255, 225, 236)
Johnson	IN	(255, 225, 226)
